"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"252","09","ASSAULT OFFENSES",13017,0.719449510860554,12735,0.871067031463748
"253","09","BAD CHECKS",543,0.207966296438146,524,0.702412868632708
"254","09","BRIBERY",1,0.333333333333333,1,0.333333333333333
"255","09","BURGLARY/BREAKING&ENTERING",9441,0.575530358449159,11281,1
"256","09","COUNTERFEITING/FORGERY",376,0.241490044958253,414,0.740608228980322
"257","09","CURFEW/LOITERING/VAGRANCY VIOLATIONS",128,1,108,0.837209302325581
"258","09","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",8502,0.692458055057827,9580,1
"259","09","DRIVING UNDER THE INFLUENCE",1375,0.49124687388353,1267,0.466494845360825
"260","09","DRUG/NARCOTIC OFFENSES",2674,0.89044289044289,2500,0.864154856550294
"261","09","DRUNKENNESS",2,0.4,1,0.25
"262","09","EMBEZZLEMENT",169,0.252994011976048,194,0.894009216589862
"263","09","EXTORTION/BLACKMAIL",85,0.379464285714286,86,1
"264","09","FAMILY OFFENSES, NONVIOLENT",856,0.548015364916773,904,0.91683569979716
"265","09","FRAUD OFFENSES",4450,0.223550688234703,5286,0.922996333158722
"266","09","GAMBLING OFFENSES",5,1,3,0.75
"267","09","HOMICIDE OFFENSES",37,0.4625,34,0.641509433962264
"268","09","HUMAN TRAFFICKING",3,0.15,2,0.333333333333333
"269","09","KIDNAPPING/ABDUCTION",91,0.399122807017544,115,0.891472868217054
"270","09","LARCENY-THEFT",32757,0.676029305541224,38995,1
"271","09","LIQUOR LAW VIOLATIONS",239,0.778501628664495,218,0.767605633802817
"272","09","MOTOR VEHICLE THEFT",6954,0.939856737396946,7286,1
"273","09","PEEPING TOM",17,0.485714285714286,19,0.826086956521739
"274","09","PORNOGRAPHY/OBSCENE MATERIAL",25,0.2,25,0.543478260869565
"275","09","PROSTITUTION OFFENSES",632,0.996845425867508,559,0.963793103448276
"276","09","ROBBERY",1985,0.845400340715503,2031,0.936808118081181
"277","09","SEX OFFENSES",455,0.310156782549421,574,0.912559618441971
"278","09","SEX OFFENSES, CONSENSUAL",8,0.121212121212121,20,0.909090909090909
"279","09","STOLEN PROPERTY OFFENSES",526,0.664141414141414,517,0.848932676518883
"280","09","TRESPASS OF REAL PROPERTY",2849,0.781190019193858,2915,0.946735953231569
"281","09","WEAPON LAW VIOLATIONS",820,0.711805555555556,777,0.720779220779221
"282","10","ANIMAL CRUELTY",2,0.0714285714285714,17,1
"283","10","ARSON",147,0.703349282296651,164,0.906077348066298
"284","10","ASSAULT OFFENSES",13219,0.730614049632455,13567,0.92797537619699
"285","10","BAD CHECKS",396,0.151666028341632,561,0.75201072386059
"286","10","BRIBERY",2,0.666666666666667,1,0.333333333333333
"287","10","BURGLARY/BREAKING&ENTERING",9399,0.572970007315289,11157,0.989008066660757
"288","10","COUNTERFEITING/FORGERY",367,0.235709698137444,512,0.915921288014311
"289","10","CURFEW/LOITERING/VAGRANCY VIOLATIONS",118,0.921875,129,1
"290","10","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",8929,0.727235706141065,9367,0.97776617954071
"291","10","DRIVING UNDER THE INFLUENCE",1669,0.596284387281172,1523,0.560751104565538
"292","10","DRUG/NARCOTIC OFFENSES",2572,0.856476856476856,2558,0.884203249222261
"293","10","DRUNKENNESS",4,0.8,NA,NA
"294","10","EMBEZZLEMENT",109,0.163173652694611,168,0.774193548387097
"295","10","EXTORTION/BLACKMAIL",68,0.303571428571429,78,0.906976744186046
"296","10","FAMILY OFFENSES, NONVIOLENT",847,0.542253521126761,986,1
"297","10","FRAUD OFFENSES",4072,0.204561438762182,5585,0.975205168500087
"298","10","GAMBLING OFFENSES",4,0.8,4,1
"299","10","HOMICIDE OFFENSES",37,0.4625,39,0.735849056603774
"300","10","HUMAN TRAFFICKING",6,0.3,6,1
"301","10","KIDNAPPING/ABDUCTION",108,0.473684210526316,104,0.806201550387597
"302","10","LARCENY-THEFT",34829,0.71879063048189,37424,0.959712783690217
"303","10","LIQUOR LAW VIOLATIONS",224,0.729641693811075,238,0.838028169014085
"304","10","MOTOR VEHICLE THEFT",7050,0.952831463711312,6831,0.93755146856986
"305","10","PEEPING TOM",18,0.514285714285714,16,0.695652173913043
"306","10","PORNOGRAPHY/OBSCENE MATERIAL",29,0.232,28,0.608695652173913
"307","10","PROSTITUTION OFFENSES",634,1,580,1
"308","10","ROBBERY",2159,0.919505962521295,2052,0.946494464944649
"309","10","SEX OFFENSES",477,0.325153374233129,549,0.872813990461049
"310","10","SEX OFFENSES, CONSENSUAL",13,0.196969696969697,19,0.863636363636364
"311","10","STOLEN PROPERTY OFFENSES",530,0.669191919191919,546,0.896551724137931
