"","MCPP","year","n"
"484","MADRONA/LESCHI","2009",857
"485","MADRONA/LESCHI","2010",869
"486","MADRONA/LESCHI","2011",834
"487","MADRONA/LESCHI","2012",766
"488","MADRONA/LESCHI","2013",776
"489","MADRONA/LESCHI","2014",1050
"490","MADRONA/LESCHI","2015",912
"491","MADRONA/LESCHI","2016",857
"492","MADRONA/LESCHI","2017",805
"493","MADRONA/LESCHI","2018",860
"494","MADRONA/LESCHI","2019",728
"495","MADRONA/LESCHI","2020",926
"496","MADRONA/LESCHI","2021",842
"497","MADRONA/LESCHI","2022",892
"498","MADRONA/LESCHI","2023",136
"499","MAGNOLIA","2008",834
"500","MAGNOLIA","2009",937
"501","MAGNOLIA","2010",909
"502","MAGNOLIA","2011",798
"503","MAGNOLIA","2012",876
"504","MAGNOLIA","2013",898
"505","MAGNOLIA","2014",1114
"506","MAGNOLIA","2015",1204
"507","MAGNOLIA","2016",1163
"508","MAGNOLIA","2017",1077
"509","MAGNOLIA","2018",1150
"510","MAGNOLIA","2019",1135
"511","MAGNOLIA","2020",1575
"512","MAGNOLIA","2021",1331
"513","MAGNOLIA","2022",1109
"514","MAGNOLIA","2023",95
"515","MID BEACON HILL","2008",1002
"516","MID BEACON HILL","2009",899
"517","MID BEACON HILL","2010",891
"518","MID BEACON HILL","2011",769
"519","MID BEACON HILL","2012",751
"520","MID BEACON HILL","2013",836
"521","MID BEACON HILL","2014",809
"522","MID BEACON HILL","2015",591
"523","MID BEACON HILL","2016",685
"524","MID BEACON HILL","2017",636
"525","MID BEACON HILL","2018",732
"526","MID BEACON HILL","2019",612
"527","MID BEACON HILL","2020",678
"528","MID BEACON HILL","2021",601
"529","MID BEACON HILL","2022",675
"530","MID BEACON HILL","2023",96
"531","MILLER PARK","2008",434
"532","MILLER PARK","2009",393
"533","MILLER PARK","2010",420
"534","MILLER PARK","2011",350
"535","MILLER PARK","2012",322
"536","MILLER PARK","2013",401
"537","MILLER PARK","2014",501
"538","MILLER PARK","2015",456
"539","MILLER PARK","2016",472
"540","MILLER PARK","2017",513
"541","MILLER PARK","2018",425
"542","MILLER PARK","2019",435
"543","MILLER PARK","2020",638
"544","MILLER PARK","2021",512
"545","MILLER PARK","2022",527
"546","MILLER PARK","2023",54
"547","MONTLAKE/PORTAGE BAY","2008",349
"548","MONTLAKE/PORTAGE BAY","2009",363
"549","MONTLAKE/PORTAGE BAY","2010",429
"550","MONTLAKE/PORTAGE BAY","2011",384
"551","MONTLAKE/PORTAGE BAY","2012",299
"552","MONTLAKE/PORTAGE BAY","2013",489
"553","MONTLAKE/PORTAGE BAY","2014",584
"554","MONTLAKE/PORTAGE BAY","2015",473
"555","MONTLAKE/PORTAGE BAY","2016",551
"556","MONTLAKE/PORTAGE BAY","2017",418
"557","MONTLAKE/PORTAGE BAY","2018",430
"558","MONTLAKE/PORTAGE BAY","2019",395
"559","MONTLAKE/PORTAGE BAY","2020",605
"560","MONTLAKE/PORTAGE BAY","2021",573
"561","MONTLAKE/PORTAGE BAY","2022",456
"562","MONTLAKE/PORTAGE BAY","2023",41
"563","MORGAN","2008",502
"564","MORGAN","2009",616
"565","MORGAN","2010",627
"566","MORGAN","2011",571
"567","MORGAN","2012",567
"568","MORGAN","2013",567
"569","MORGAN","2014",430
"570","MORGAN","2015",543
"571","MORGAN","2016",681
"572","MORGAN","2017",605
"573","MORGAN","2018",661
"574","MORGAN","2019",585
"575","MORGAN","2020",826
"576","MORGAN","2021",631
"577","MORGAN","2022",618
"578","MORGAN","2023",88
"579","MOUNT BAKER","2008",865
"580","MOUNT BAKER","2009",829
"581","MOUNT BAKER","2010",949
"582","MOUNT BAKER","2011",768
"583","MOUNT BAKER","2012",759
"584","MOUNT BAKER","2013",821
"585","MOUNT BAKER","2014",1029
